,plr_nr,plr_name,plz
0,4400728,Hagenplatz,14193
1,1100206,Unter den Linden,10117
2,7400824,Bosepark,12103
3,11200513,Große-Leege-Straße,13055
4,3601245,Ostseestraße,10409
5,3701660,Bötzowstraße,10407
6,11300722,Rathaus Lichtenberg,10367
7,7601442,Kettinger Straße,12305
8,2500835,Stralauer Kiez,10245
9,12200309,Scharnweberstraße,13405
10,7200409,Belziger Straße,10823
11,4200203,Olympiagelände,14053
12,3701657,Thälmannpark,10405
14,8200624,Tempelhofer Weg,12347
15,9301025,Alt-Bohnsdorf,12526
16,11300620,Fennpfuhl Ost,10367
17,6100101,Fichtenberg,12165
18,1100308,Charitéviertel,10115
19,1300836,Humboldthain Nordwest,13347
20,9501736,Hirschgarten,12587
22,5100315,Ackerstraße,13585
23,2400624,Weberwiese,10243
24,2400625,Wriezener Bahnhof,10243
25,1100102,Großer Tiergarten,10557
26,3701554,Teutoburger Platz,10119
27,9501737,Alt-Friedrichshagen,12587
28,1200521,Zwinglistraße,10555
29,7100205,Alvenslebenstraße,10783
30,1100207,Leipziger Straße,10178
32,7601547,Horstwalder Straße,12307
34,2500834,Revaler Straße,10245
35,8100415,Ganghoferstraße,12043
36,6400737,Nikolassee,14129
37,2500831,Wismarplatz,10247
38,5200633,Graetschelsteig,13593
39,10100205,Gewerbegebiet Bitterfelder Straße,12681
40,9200819,Köllnische Vorstadt,12557
41,12500927,Wittenau Nord,13437
42,1100416,Arkonaplatz,10119
43,1100309,Oranienburger Straße,10119
44,4300623,Karl-August-Platz,10627
46,6400838,Krumme Lanke,14169
47,4501045,Schaperstraße,10789
48,3200206,Pastor-Niemöller-Platz,13156
49,3300412,Karow Bahnhof,13125
50,3701556,Kollwitzplatz,10435
51,3601244,Humannplatz,10439
52,6400838,Krumme Lanke,14129
53,3601243,Rodenbergstraße,10439
55,6100205,Südende,12167
56,9301227,Karolinenhof,12527
58,10400938,Mahlsdorf Nord,12623
59,6300634,Lichterfelde West,12205
60,1401046,Nordufer,13353
61,8100104,Wartheplatz,12051
62,9200717,Dörpfeldstraße Ost,12489
63,10100103,Wittenberger Straße,12689
64,2100104,Moritzplatz,10969
65,1100310,Alexanderplatzviertel,10178
66,4200206,Kranzallee,14055
67,3200207,Herthaplatz,13156
68,4500937,Halensee,10711
69,1200519,Emdener Straße,10551
71,11400929,Weitlingkiez,10317
72,2500832,Traveplatz,10245
73,3300411,Karow Nord,13125
75,7300515,Taunusstraße,12161
76,6400843,Thielallee,14195
78,1100102,Großer Tiergarten,10785
79,8100418,Hertzbergplatz,12059
81,4400833,Schlangenbader Straße,14197
82,12200412,Waldidyll/Flughafensee,13509
85,5200420,Staakener Straße,13581
86,4501148,Brabanter Platz,10713
87,4501147,Leon-Jessel-Platz,10713
88,2500729,Pettenkofer Straße,10247
92,12400723,Hermsdorf Ost/Waldsee,13467
93,11300725,Nibelungenviertel,10365
94,6400839,Fischerhüttenstraße,14163
95,1401048,Leopoldplatz,13347
96,1100101,Stülerstraße,10787
97,4400727,Flinsberger Platz,14199
98,12200515,Alt-Tegel,13507
99,7400720,Gontermannstraße,12101
100,4501040,Hindemithplatz,10629
101,1100207,Leipziger Straße,10117
102,11401032,Rosenfelder Ring,10317
103,4200207,Eichkamp,14055
104,4400831,Messelpark,14199
105,11501340,Karlshorst Nord,10318
106,1100311,Karl-Marx-Allee,10179
107,1401047,Sparrplatz,13353
109,8401245,Frauenviertel,12355
110,3500936,Komponistenviertel Weißensee,13088
112,9200715,Wista,12489
114,3601140,Malmöer Straße,10439
115,7300517,Perelsplatz,12159
116,1100415,Invalidenstraße,10115
117,8100208,Körnerpark,12051
120,8100417,Braunschweiger Straße,12055
122,8300935,Gropiusstadt Süd-West,12353
123,9501940,Güterbahnhof Köpenick,12555
125,3400826,Tiroler Viertel,13189
126,10200629,Teterower Ring,12619
127,10200421,Helle Mitte,12627
129,10300731,Oberfeldstraße,12683
130,10300734,Biesdorf Süd,12683
133,10400940,Elsensee,12623
134,8100209,Glasower Straße,12051
136,12400722,Hermsdorf West,13467
138,12500930,Wittenau Süd,13437
139,7100102,Kalckreuthstraße,10781
140,9100407,Johannisthal West,12487
141,3200309,Eddastraße,13127
142,2300419,Wrangelkiez,10997
146,2100106,Wassertorplatz,10999
148,7601546,Franziusweg,12307
149,1400938,Kameruner Straße,13353
150,4300415,Lietzensee,14057
152,1401049,Schulstraße,13347
154,7601545,Nahariyastraße,12309
155,2400623,Andreasviertel,10243
156,2200213,Graefekiez Nord,10967
158,6300629,Botanischer Garten,12203
159,1100312,Heine-Viertel West,10179
162,9100408,Johannisthal Ost,12487
164,3200310,Krugpfuhl,13127
166,5300841,Siemensdamm,13629
167,12100205,Teichstraße,13407
168,5100314,Kurstraße,13585
169,1300836,Humboldthain Nordwest,13353
170,7400826,Marienhöhe,12105
171,1401047,Sparrplatz,13347
172,12100101,Letteplatz,13409
175,10400836,Alt-Kaulsdorf,12621
176,9200716,Dörpfeldstraße West,12489
177,10400835,Kaulsdorf Nord,12621
179,4501042,Breitscheidplatz,10789
181,10200525,Schleipfuhl,12627
182,9401534,Altstadt Köpenick,12555
183,12200413,Tegel Süd,13507
185,3601141,Arnimplatz,10439
